dataset,model,state,mean,mean_CI95,var,var_CI95,param1,param1_CI95,param2,param2_CI95,param3,param3_CI95
ICU-stay,Gamma,AC,9.07,"(6.31, 12.77)",67.49,"(36.79, 119.99)",1.25,"(0.98, 1.53)",0.14,"(0.1, 0.18)",,
ICU-stay,Gamma,AL,7.3,"(6.81, 7.83)",49.08,"(41.93, 57.36)",1.09,"(1.0, 1.19)",0.15,"(0.13, 0.17)",,
ICU-stay,Gamma,AM,8.51,"(8.06, 8.98)",57.34,"(50.69, 65.04)",1.27,"(1.18, 1.35)",0.15,"(0.14, 0.16)",,
ICU-stay,Gamma,AP,10.05,"(8.38, 11.96)",76.56,"(54.43, 108.0)",1.33,"(1.14, 1.55)",0.13,"(0.11, 0.16)",,
ICU-stay,Gamma,BA,8.01,"(7.57, 8.46)",55.43,"(48.73, 63.04)",1.16,"(1.08, 1.24)",0.14,"(0.13, 0.16)",,
ICU-stay,Gamma,CE,8.93,"(8.56, 9.32)",59.78,"(54.02, 66.26)",1.33,"(1.26, 1.41)",0.15,"(0.14, 0.16)",,
ICU-stay,Gamma,DF,8.44,"(7.83, 9.09)",59.24,"(49.89, 70.03)",1.21,"(1.1, 1.32)",0.14,"(0.13, 0.16)",,
ICU-stay,Gamma,ES,10.03,"(9.4, 10.69)",66.49,"(57.04, 76.93)",1.52,"(1.39, 1.66)",0.15,"(0.14, 0.17)",,
ICU-stay,Gamma,GO,8.05,"(7.38, 8.76)",47.9,"(39.22, 57.71)",1.36,"(1.23, 1.5)",0.17,"(0.15, 0.19)",,
ICU-stay,Gamma,MA,9.13,"(8.11, 10.21)",69.75,"(54.23, 88.61)",1.2,"(1.05, 1.35)",0.13,"(0.11, 0.15)",,
ICU-stay,Gamma,MG,8.96,"(8.4, 9.56)",59.61,"(51.33, 69.12)",1.35,"(1.24, 1.47)",0.15,"(0.14, 0.17)",,
ICU-stay,Gamma,MS,7.55,"(6.06, 9.31)",49.93,"(33.39, 71.46)",1.15,"(0.96, 1.35)",0.15,"(0.13, 0.19)",,
ICU-stay,Gamma,MT,6.83,"(5.67, 8.13)",40.39,"(28.13, 55.49)",1.17,"(0.99, 1.35)",0.17,"(0.14, 0.21)",,
ICU-stay,Gamma,PA,8.33,"(7.91, 8.75)",60.4,"(53.64, 67.61)",1.15,"(1.07, 1.23)",0.14,"(0.13, 0.15)",,
ICU-stay,Gamma,PB,7.38,"(6.73, 8.1)",47.39,"(38.86, 57.49)",1.16,"(1.04, 1.28)",0.16,"(0.14, 0.18)",,
ICU-stay,Gamma,PE,8.86,"(7.98, 9.82)",76.38,"(60.85, 96.89)",1.03,"(0.91, 1.16)",0.12,"(0.1, 0.13)",,
ICU-stay,Gamma,PI,8.89,"(7.73, 10.21)",70.15,"(52.96, 93.29)",1.14,"(0.98, 1.3)",0.13,"(0.11, 0.15)",,
ICU-stay,Gamma,PR,9.63,"(9.13, 10.16)",63.67,"(56.12, 71.95)",1.46,"(1.35, 1.57)",0.15,"(0.14, 0.17)",,
ICU-stay,Gamma,RJ,7.79,"(7.46, 8.15)",51.08,"(45.93, 56.66)",1.19,"(1.12, 1.27)",0.15,"(0.14, 0.16)",,
ICU-stay,Gamma,RN,7.46,"(6.8, 8.16)",45.41,"(37.01, 55.18)",1.23,"(1.1, 1.37)",0.17,"(0.14, 0.19)",,
ICU-stay,Gamma,RO,8.36,"(7.43, 9.41)",53.7,"(42.05, 68.04)",1.31,"(1.15, 1.48)",0.16,"(0.13, 0.18)",,
ICU-stay,Gamma,RR,9.78,"(8.13, 11.81)",74.48,"(51.91, 106.9)",1.3,"(1.1, 1.51)",0.13,"(0.11, 0.16)",,
ICU-stay,Gamma,RS,11.15,"(10.56, 11.76)",96.56,"(84.75, 110.29)",1.29,"(1.2, 1.38)",0.12,"(0.11, 0.13)",,
ICU-stay,Gamma,SC,11.73,"(10.63, 12.96)",101.08,"(81.68, 125.64)",1.37,"(1.22, 1.53)",0.12,"(0.1, 0.13)",,
ICU-stay,Gamma,SE,9.37,"(8.36, 10.42)",65.58,"(51.83, 82.15)",1.35,"(1.18, 1.52)",0.14,"(0.12, 0.17)",,
ICU-stay,Gamma,SP,9.43,"(9.25, 9.6)",70.16,"(66.93, 73.39)",1.27,"(1.23, 1.3)",0.13,"(0.13, 0.14)",,
ICU-stay,Gamma,TO,8.52,"(6.89, 10.43)",59.87,"(40.62, 86.03)",1.23,"(1.02, 1.44)",0.15,"(0.12, 0.18)",,
ICU-stay,Gamma,Brazil,9.0,"(8.89, 9.1)",64.93,"(63.09, 66.81)",1.25,"(1.23, 1.27)",0.14,"(0.14, 0.14)",,
ICU-stay,Weibull,AC,8.9,"(6.29, 11.57)",67.63,"(29.92, 124.68)",1.11,"(0.95, 1.28)",9.21,"(6.6, 11.96)",,
ICU-stay,Weibull,AL,7.37,"(6.87, 7.92)",50.89,"(42.83, 60.77)",1.04,"(0.98, 1.09)",7.47,"(6.93, 8.05)",,
ICU-stay,Weibull,AM,8.54,"(8.09, 9.0)",57.67,"(50.24, 66.24)",1.13,"(1.08, 1.18)",8.91,"(8.42, 9.41)",,
ICU-stay,Weibull,AP,9.74,"(8.3, 11.3)",73.58,"(50.36, 107.64)",1.15,"(1.02, 1.29)",10.22,"(8.67, 11.86)",,
ICU-stay,Weibull,BA,8.05,"(7.6, 8.53)",57.35,"(49.93, 65.63)",1.07,"(1.02, 1.11)",8.25,"(7.76, 8.78)",,
ICU-stay,Weibull,CE,8.92,"(8.54, 9.31)",58.72,"(52.64, 65.49)",1.17,"(1.13, 1.21)",9.42,"(8.98, 9.85)",,
ICU-stay,Weibull,DF,8.52,"(7.87, 9.2)",63.21,"(51.89, 77.06)",1.07,"(1.01, 1.14)",8.75,"(8.05, 9.49)",,
ICU-stay,Weibull,ES,9.84,"(9.29, 10.43)",58.65,"(50.56, 68.3)",1.3,"(1.23, 1.38)",10.65,"(10.03, 11.31)",,
ICU-stay,Weibull,GO,7.93,"(7.31, 8.6)",43.35,"(35.24, 53.15)",1.21,"(1.13, 1.3)",8.44,"(7.76, 9.18)",,
ICU-stay,Weibull,MA,9.23,"(8.17, 10.36)",71.23,"(52.67, 96.2)",1.1,"(1.01, 1.2)",9.56,"(8.43, 10.69)",,
ICU-stay,Weibull,MG,8.93,"(8.34, 9.54)",59.11,"(49.96, 69.53)",1.17,"(1.1, 1.23)",9.43,"(8.78, 10.08)",,
ICU-stay,Weibull,MS,7.72,"(6.0, 9.64)",50.91,"(28.87, 86.44)",1.1,"(0.96, 1.24)",7.97,"(6.22, 9.9)",,
ICU-stay,Weibull,MT,6.4,"(5.31, 7.69)",30.72,"(19.74, 47.37)",1.17,"(1.05, 1.3)",6.75,"(5.58, 8.1)",,
ICU-stay,Weibull,PA,8.37,"(7.95, 8.81)",61.74,"(54.26, 70.26)",1.07,"(1.02, 1.11)",8.58,"(8.13, 9.05)",,
ICU-stay,Weibull,PB,7.4,"(6.74, 8.14)",45.44,"(35.83, 57.47)",1.1,"(1.03, 1.18)",7.67,"(6.95, 8.45)",,
ICU-stay,Weibull,PE,9.16,"(8.2, 10.2)",90.92,"(69.02, 119.64)",0.97,"(0.89, 1.04)",9.01,"(8.0, 10.03)",,
ICU-stay,Weibull,PI,9.23,"(8.05, 10.56)",81.55,"(58.13, 114.71)",1.03,"(0.93, 1.13)",9.32,"(8.07, 10.68)",,
ICU-stay,Weibull,PR,9.6,"(9.1, 10.1)",64.17,"(56.36, 72.81)",1.2,"(1.15, 1.26)",10.21,"(9.67, 10.77)",,
ICU-stay,Weibull,RJ,7.82,"(7.47, 8.18)",52.58,"(46.94, 58.94)",1.08,"(1.04, 1.12)",8.05,"(7.67, 8.44)",,
ICU-stay,Weibull,RN,7.42,"(6.75, 8.13)",43.63,"(34.85, 54.23)",1.13,"(1.05, 1.21)",7.74,"(7.01, 8.51)",,
ICU-stay,Weibull,RO,8.22,"(7.33, 9.19)",48.82,"(37.0, 65.27)",1.19,"(1.08, 1.29)",8.7,"(7.75, 9.76)",,
ICU-stay,Weibull,RR,9.63,"(8.09, 11.42)",75.65,"(49.02, 113.76)",1.12,"(0.99, 1.25)",10.02,"(8.39, 11.89)",,
ICU-stay,Weibull,RS,11.13,"(10.54, 11.76)",101.88,"(89.09, 116.76)",1.11,"(1.05, 1.16)",11.55,"(10.89, 12.24)",,
ICU-stay,Weibull,SC,11.42,"(10.44, 12.52)",99.86,"(79.9, 125.73)",1.15,"(1.07, 1.24)",11.99,"(10.89, 13.17)",,
ICU-stay,Weibull,SE,9.24,"(8.29, 10.33)",62.87,"(48.16, 81.96)",1.17,"(1.08, 1.28)",9.76,"(8.7, 10.91)",,
ICU-stay,Weibull,SP,9.46,"(9.28, 9.64)",72.26,"(68.98, 75.64)",1.12,"(1.1, 1.13)",9.85,"(9.65, 10.04)",,
ICU-stay,Weibull,TO,8.57,"(6.97, 10.43)",59.92,"(35.78, 96.61)",1.13,"(0.99, 1.27)",8.93,"(7.25, 10.8)",,
ICU-stay,Weibull,Brazil,8.91,"(8.81, 9.02)",65.16,"(63.27, 67.15)",1.11,"(1.09, 1.12)",9.25,"(9.14, 9.37)",,
